IID,ROI_0,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96,ROI_97,ROI_98,ROI_99,ROI_100,ROI_101,ROI_102,ROI_103,ROI_104,ROI_105,ROI_106,ROI_107,ROI_108,ROI_109,ROI_110,ROI_111,ROI_112,ROI_113,ROI_114,ROI_115
100206,3.7701895,0.39098144,1.4754975,5.689586,2.583422,17.990608,43.13023,27.817019,8.594489,19.822844,42.703587,51.73097,2.9159958,191.292,56.99819,97.503136,1.0591444,0.23410165,3.1084356,83.75668,13.111994,46.463863,31.734417,55.30069,9.734642,114.261,10.620241,89.498566,75.1298,0.23831563,81.638016,9.920751,2.5008364,32.269646,111.28363,135.03,8.061604,53.937214,73.67696,17.2816,2.4462543,0.55044866,0.14886671,6.7349324,36.587746,19.483637,4.7087855,25.481422,1.9272143,10.829712,36.430542,152.93178,8.624346,5.8642316,7.5868125,7.4342704,2.637634,29.469143,0.4423261,57.235653,0.99684083,1.4852786,134.67432,3.7398248,44.186855,95.1775,1.6935847,0.7849127,37.52772,0.83364016,6.9361744,7.4554243,84.65396,137.58095,25.157598,70.71878,110.18448,110.73971,65.54123,21.813118,23.227106,0.0552463,18.13151,24.062843,15.060625,43.017506,4.6644673,37.65052,5.4076786,50.386703,21.693703,42.11326,24.447062,6.929947,7.8571696,6.6551595,41.87939,117.19245,1.6335677,49.089844,19.445137,25.757084,46.487495,0.61233765,1.2705965,11.0999365,9.5201645,53.539032,205.64597,39.19994,18.621534,2.7811813,12.210103,0.8919917,31.453512,35.82511
100307,4.466896,2.5894065,1.9232378,11.528324,8.308883,36.16317,57.834618,49.188602,14.635764,22.97612,70.83104,84.01175,3.6295319,251.91725,83.23146,123.81836,0.1716055,0.32338127,9.977289,155.89539,29.833948,74.624886,49.031662,101.05505,13.85697,177.96043,23.2002,150.56274,124.83852,0.0096214125,141.33282,24.620884,0.7838613,60.953854,172.3816,215.6736,13.466402,92.196815,122.74391,32.586452,4.5280075,0.23527196,0.002126773,9.5613575,37.873486,35.76661,10.105111,38.62291,4.5789237,24.23136,59.25112,188.24564,9.740406,12.769429,4.6332116,17.366638,1.4572995,50.654324,0.5418908,78.30416,0.0043475362,0.039592747,216.47389,2.064129,102.41007,120.28873,0.10111404,0.06905637,78.19933,9.692368,9.18004,11.704656,137.04033,216.0589,57.66835,116.99943,172.4163,165.2061,116.42029,56.286434,48.503986,0.78159165,22.78326,33.910645,27.5226,63.25906,13.895492,48.850277,7.505528,73.37075,18.815317,78.9284,46.591747,4.0280595,5.0684047,13.988722,82.44394,208.60675,0.65708673,77.34924,20.414143,45.404545,52.55327,4.008328,0.044323552,35.676662,17.907717,54.79266,341.00464,56.409843,25.168722,9.508116,22.759642,0.07090265,65.42542,74.75149
100408,0.104678825,0.013606343,4.941726,1.8565325,1.8006229,2.8122823,2.7564328,5.192697,3.6432645,4.116786,7.6682644,9.543556,3.9270656,35.831905,16.308083,20.5853,0.5953926,0.013572814,1.1765761,24.356747,3.204496,14.569972,14.135235,7.199792,4.2312517,30.31402,1.7626582,19.4773,12.502402,0.005033784,17.510214,1.3914227,0.05347311,8.4192505,25.211647,22.69972,0.36123964,12.123174,14.626449,1.5581536,1.4441315,0.0044130124,4.1784825,6.19918,3.990746,3.2903569,2.8029842,9.263383,1.5814368,0.3246091,10.373465,32.173405,0.4428497,0.2090532,0.00034059247,1.0332633,0.4211579,5.1225786,0.25882566,9.581654,0.07812827,0.22515795,27.299099,2.6386893,6.3531485,18.636591,0.0013793091,0.5832611,3.0197246,0.101586185,3.7582493,5.880396,18.43935,28.898365,7.479576,23.30296,22.592289,23.227478,14.485111,0.080785505,4.136524,1.9752039,2.1222603,3.6148043,2.1140404,6.9396405,1.9120808,10.736959,0.7574284,6.4480953,2.7332485,5.4988885,6.0395064,7.04883,2.8565905,4.0501738,6.4894032,24.258158,0.026041271,15.804587,5.3882246,9.813198,9.344312,0.0076858248,0.021405235,1.8191442,2.473995,18.20734,28.338736,13.964525,11.825318,1.4052947,3.1769927,0.8514997,5.8885007,2.604296
100610,0.07322566,0.47163856,3.9866045,2.2503948,3.1737928,6.8853865,0.19377132,8.326864,5.3991704,0.2897985,13.975991,5.4316144,10.316463,14.262316,15.364812,26.9819,0.033557568,0.13539134,0.6000047,14.749857,1.7159884,5.924147,6.5705576,4.3153954,5.1014323,22.091406,4.4465566,16.389847,16.728823,0.3463409,17.351686,0.43776006,0.0041828514,1.7490765,12.391389,21.384539,0.09761045,2.7404826,13.091866,3.6621668,0.3949084,2.0092516,0.31827825,3.198055,1.4551246,1.520061,4.333207,7.780676,0.4661009,0.6420942,7.187591,11.671281,0.24417037,1.5405102,0.2896581,0.58929,0.10145095,4.739244,3.8846421,2.6830745,0.42458025,0.027424525,9.194393,1.4393207,8.353732,9.320763,0.05577635,0.805457,0.5210992,2.1902335,0.9153433,1.447543,19.099413,20.50018,6.9890594,6.0307584,13.655825,11.537688,9.409637,0.010285524,4.5243444,0.0063595637,4.134902,4.7036476,1.1718351,2.2913773,1.1190671,2.890689,0.4613055,10.972029,1.0087911,16.268078,11.197658,0.61424434,1.7914659,1.0142852,20.52903,46.976944,0.6786171,15.419337,0.78066427,5.7992516,2.6246793,3.745046,1.8851683,9.275326,4.3710093,7.7278986,31.3384,2.2757113,25.614145,3.9021664,5.135477,1.4356215,13.34279,10.750082
101006,0.23352174,0.2286919,4.654444,3.404863,3.3506827,5.110498,0.19373134,7.8962483,5.0300736,0.7039764,9.089247,9.112962,4.173045,14.364253,12.786263,20.64282,0.048238695,0.0034308706,1.5507927,19.940765,1.3864181,8.84112,7.6895967,4.2699313,3.7038438,24.275263,2.8853636,18.562044,9.788838,0.02704972,16.796062,0.95884925,0.57588,4.634495,12.512426,12.774685,1.3401116,3.9169009,13.089094,0.93139946,2.5142117,1.4966938,1.1214743,4.5198474,1.5980928,1.4025977,2.8028464,5.494705,0.85171264,0.16091706,8.23639,19.241114,0.003853196,0.07749941,0.06329803,0.66433644,0.019173015,3.4920385,0.011719925,2.8144395,1.1798638,0.11561014,16.72506,1.4466903,8.285838,12.776159,0.74532276,0.5063287,2.5091534,0.2935722,3.629258,4.2131166,11.702039,16.578741,1.5080459,7.2345405,10.723741,11.286402,10.956985,0.055682708,2.1617255,1.210165,1.928827,3.918295,0.6068067,4.6576843,0.50955385,9.093147,0.0016650722,3.9733365,0.06362577,6.899188,6.054385,3.6364143,0.108648166,9.14918,9.913722,25.195196,0.14026278,12.4927635,3.9017978,9.734568,7.1686068,0.1488674,1.3547623,4.8198357,9.385279,9.06098,45.796627,14.040591,17.19527,0.4708284,0.22044274,0.15827714,5.284074,11.894291
101107,0.7363761,1.7625189,1.9873708,0.7996537,4.8667793,1.7615349,1.0734459,1.0555608,0.42402488,2.038063,0.42574018,0.10348973,0.50506514,1.0809017,0.00063032383,0.44493622,0.06017108,1.6481183,0.019352512,0.81196064,1.164684,2.7399278,6.1852245,1.0618142,0.6078264,0.8931951,1.8381488,4.101901,1.6540658,0.9721122,0.056684893,0.001066061,1.8488034,0.47214448,0.004927008,0.6851993,3.4777787,1.5814152,0.06750779,0.15969309,2.7225404,0.44079804,2.0684416,0.0051595583,0.99132377,0.021946806,1.9326826,0.10567356,0.42685336,0.25329578,5.3281193,1.809215,0.1889453,0.6013066,1.0321817,0.3941076,3.1558852,0.17941514,0.005577312,2.528334,0.61751044,0.02082955,3.5283675,1.5125868,0.45369425,0.37636164,0.019723808,0.0055831755,0.8454045,1.2240968,0.1940231,0.006834502,0.4034721,0.056786448,0.90754145,0.00015197441,0.14190216,0.07337949,1.6401595,1.6993629,0.021406049,1.0851167,2.42321,2.0337906,1.6008472,0.09234337,0.00056301575,1.5077941,0.12925614,0.529508,0.54251146,0.20596164,0.0764008,3.7374074,0.26976448,0.52501315,2.8794303,1.1206313,1.5693289,0.78266394,0.78370774,1.4593359,0.5126217,0.0017968757,0.18386519,0.5874649,1.1904336,1.9093308,0.16819412,0.017327227,0.6553821,0.48821485,0.78510463,0.45684627,2.5773454,0.10008412
101309,0.11203518,0.08245623,5.6711154,2.084179,2.838766,4.2649803,0.8822817,5.8871226,4.86127,2.835642,8.716218,6.2973824,4.9377284,26.15841,13.070507,20.503685,1.1424694,0.052032173,1.0990661,20.600609,0.9111032,9.649917,8.590782,5.6982555,3.450276,25.173233,3.2643144,17.872227,10.87454,0.35315228,14.14912,0.7076756,0.05525036,4.346535,19.387714,25.78793,0.1519633,7.3447914,15.551368,0.8803551,0.2536207,1.4201587,0.9744068,3.9817555,3.16946,1.7831887,1.7875729,6.8720036,1.932844,1.1033477,8.041451,24.910473,0.36350712,0.025155034,0.13398187,0.108385116,0.4310683,5.0862665,1.623844,12.679472,0.15698655,0.02757672,16.076954,2.840181,6.6110835,13.270336,0.17116506,0.13620883,1.340879,0.09556868,1.531199,2.1507218,11.73787,17.938166,4.95429,14.691213,14.989965,14.994511,9.114795,0.08512026,1.9575864,1.5066359,1.5404401,2.1810014,0.7228679,6.640958,0.55289406,11.708065,0.30765468,5.741091,3.2736628,8.917503,2.0654638,5.2954288,3.906851,6.5755615,7.2371483,19.457596,0.40687853,10.694793,9.424767,18.217287,12.605853,0.0047980086,0.21909246,2.8282099,7.959551,17.377024,35.07135,9.970468,7.621495,0.22391737,1.5707093,1.1078434,4.253558,3.3890343
101410,169.15685,189.96646,128.61774,15.098951,244.05104,107.09971,48.132282,162.20892,9.024726,497.47882,0.046363547,10.197325,13.389978,143.25345,9.344646,99.58362,0.37813124,116.765114,3.678647,37.48772,246.94597,23.66138,56.8773,48.30044,1.046228,12.089536,98.99815,229.12355,0.09968211,21.498554,0.22743098,3.1561234,90.0518,1.4304541,0.4464175,10.062739,1.6014005,0.42768198,187.38214,40.995117,13.354713,8.6908,400.4601,29.514925,42.904526,70.595726,77.63333,17.153816,0.991593,13.580215,524.3437,151.60794,28.84518,6.469479,7.1671653,0.42595202,124.00231,1.9212251,373.94308,681.34094,101.93398,33.73567,189.5541,245.9545,23.986483,112.616234,22.345009,73.6944,0.043201514,177.16484,8.306888,14.6070795,39.320824,64.1985,141.93814,149.73627,131.42554,121.94016,20.170624,126.81741,1.03524,53.27862,63.923508,45.57092,136.03291,0.05582512,96.74929,207.269,153.87727,0.0220258,390.8226,56.37276,72.510414,126.58632,255.39005,342.04523,0.3823104,2.1605103,63.42558,6.152031,47.57047,1.6955407,0.4186287,173.72101,98.51301,28.413103,70.43468,5.173877,136.1762,85.036316,2.1935396,2.070196,121.46017,155.17674,845.53827,38.549168
101915,9.962265,15.483129,5.585194,2.3861003,22.38412,13.610567,3.3001757,10.505165,1.5513382,34.94626,0.7900312,0.7806089,0.17223524,10.809697,1.5051224,5.478504,0.5668595,8.4706335,0.39751202,6.6644306,15.923856,6.685164,12.223012,5.0270896,0.06907096,4.3937187,8.269935,20.778826,1.8700173,3.460075,0.22046423,0.02484095,10.7842655,0.96030307,0.5959621,2.5105813,1.5194514,1.7357947,11.26505,0.68319577,0.46394512,0.0021009198,28.986427,1.5093904,6.041206,0.9916729,10.587953,0.5046477,1.3128748,1.3302836,49.118484,13.498371,1.8539459,1.0791621,0.9496688,0.47732332,19.175589,2.0631878,14.694238,35.10166,9.478763,2.6650226,31.172756,15.43222,6.3468266,5.457386,0.4131377,0.16644919,6.647482,1.9827379,0.06381138,0.22635059,1.4404831,2.13959,5.4937577,9.958817,5.262754,4.992131,2.369743,11.639821,0.3650663,3.6857672,4.534311,4.6654572,11.763699,0.002115585,4.158575,12.671429,9.398028,0.046722542,23.155659,2.968435,4.0311213,6.316322,10.797622,25.74558,2.0674598,0.078253634,5.7720137,0.8119044,2.580417,0.32784858,0.026298739,13.08178,10.079379,1.7745813,2.448123,0.6592803,8.1355295,2.0958817,0.35192084,3.1453524,6.0626106,10.131436,58.4527,0.109458886
102008,0.4584319,2.5613735,2.0256798,4.0671415,2.0779445,2.0511734,0.7031255,2.41091,1.504455,8.04485,0.47955585,0.1200026,0.032431133,1.5999786,0.064082935,0.396926,0.096277595,1.5853672,0.005192449,0.26846567,0.7899585,1.7406095,3.2913723,0.7077101,0.9038606,0.6910417,2.838049,3.0456624,1.5805576,0.7082973,0.027166806,0.070674166,2.5314012,0.20721568,0.21664225,0.23578024,1.7831982,1.0275761,0.3736296,0.016242916,1.3951674,0.7771771,4.003434,0.3731334,0.9261432,0.21828818,2.2538233,0.0323633,0.04250741,0.2543399,3.6784446,0.66130084,0.038240895,0.078125454,0.00014174427,0.07385816,4.359981,0.6133216,1.3182962,2.9975128,1.2380991,0.19414407,4.7479534,1.4878638,0.40385473,0.10027611,0.63726455,0.36275113,0.23495167,0.4967081,0.3755053,0.12084116,0.014338519,0.1140289,0.2541552,0.0019896613,0.084441066,0.022441367,0.5782374,0.27010214,0.33401972,0.9441074,2.4447474,1.6801345,2.143406,0.0043537286,0.10990695,2.5887861,0.12661432,0.07003966,3.6105173,0.9731988,0.69614697,0.014289243,0.24595942,0.3340309,1.3933591,0.012975608,0.06443373,0.11741057,0.09090715,0.9990771,0.25439245,1.2622286,6.8666973,2.9398036,0.072405994,0.25986785,0.013357037,0.457823,0.0074782684,0.70489895,0.090170674,1.5639907,16.507193,1.1038053
