IID,ROI_0,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96,ROI_97,ROI_98,ROI_99,ROI_100,ROI_101,ROI_102,ROI_103,ROI_104,ROI_105,ROI_106,ROI_107,ROI_108,ROI_109,ROI_110,ROI_111,ROI_112,ROI_113,ROI_114,ROI_115
100206,0.065171815,0.013301822,0.047463816,0.2626987,0.2642588,0.5212329,0.11078685,0.61741745,0.1222973,0.6337563,0.066955104,0.2270263,0.11055816,0.07827878,0.15843612,0.3421766,0.016372377,0.0003735528,0.01028702,0.00347066,0.025817476,0.034375235,0.1197573,0.31960788,0.0495522,0.34155047,0.10437185,0.17292023,0.009083633,0.0038505488,0.0023259884,0.020506434,0.0008945073,0.0010196781,0.0062998557,0.002396075,0.016812475,0.00872645,0.3584124,4.910343e-06,0.12850289,0.01317565,0.2691435,2.165491e-07,0.095533215,0.00793221,0.027698204,0.0007110017,0.08425387,0.016606804,0.014399732,0.04287931,0.00091639394,0.018845975,0.014228087,0.008842348,0.038831394,0.07552683,0.0028657976,0.2836069,0.0004625348,0.13763711,0.029920233,0.069378264,0.0098756,0.0020354164,0.016854538,8.696864e-05,0.011830896,0.10444475,0.0028396067,0.021661012,0.009248976,0.00023114523,0.040235937,0.037133243,0.00068596203,0.0075435042,0.00068918517,0.00076384214,0.035832606,0.04487576,0.0025068454,0.00012938882,0.04927271,0.022289092,0.011903925,0.22039433,1.1420165e-06,0.012079385,0.057809107,0.0029835915,0.41049892,0.2598345,0.000476995,0.2540255,0.2160478,0.075033665,0.029413737,0.012511621,7.3529474e-05,0.010282483,0.062597685,0.01492256,4.4211698,0.57781816,0.27108017,0.27943388,0.056888234,0.036916234,0.18766472,0.57081676,0.096278206,0.0011988737,0.25624788,1.0052629
100307,0.03147706,0.00233685,0.01234844,0.00738384,0.039096635,0.016625797,0.0022948317,0.0077437693,0.17534746,0.009116503,0.0045741545,0.025085367,0.003236358,1.5740668e-06,0.033078197,0.17256883,0.020306041,8.1463135e-05,0.04525448,0.015268844,0.021365326,0.0024999953,0.040742915,0.004281773,0.00011563034,0.023912061,0.024502058,0.004640302,0.010028815,0.00023205277,0.049328815,2.0937845e-05,0.0073008863,0.007167032,0.016500942,8.043992e-05,0.0027785385,0.011793589,0.0032844003,0.005224716,0.0016121363,0.066248916,0.37649035,0.21247767,0.08786466,0.001904165,0.0556544,0.07159349,0.072204046,0.081616156,0.06407565,0.07294441,0.011386214,0.00093092246,0.00097388215,0.02286398,0.011129115,0.02283151,0.9373014,0.15419991,0.20514141,0.0001648144,0.06365802,0.20559357,0.116075516,0.020173859,0.033050712,0.005953436,0.030322677,0.0722106,0.044701565,0.002252793,0.055841997,0.024144875,0.0046955063,0.00031765227,0.0022141119,0.016863894,0.08627393,0.013673045,0.0019758488,0.022923179,1.0332674e-06,0.10186087,0.060637698,0.0005070406,0.030510727,0.03199749,0.036983263,0.07448331,0.0045037842,5.263528e-05,0.0004447341,0.15888171,0.013377266,0.36229822,0.09370466,0.049432606,0.015374821,0.04894663,0.104525626,0.029931983,4.0060982e-08,0.0044947485,5.895147,0.0059398855,0.4590788,1.4719181,0.23598187,0.04654988,0.1777172,0.3360127,0.030735064,0.024178524,0.002026375,0.011421298
100408,0.0799445,0.15440628,0.065966934,0.096766986,0.06289108,0.20160213,0.06435695,0.31542265,0.03460124,0.018353442,0.03746009,0.052755654,0.03489492,9.128253e-06,0.059626374,0.022400005,0.009141376,0.00016906501,0.0020724577,0.010046765,0.06020265,0.02991547,0.00508332,0.06363687,0.0067662047,0.0452444,0.23326509,0.21532477,0.008420629,0.13934185,4.60181e-05,0.00015931259,0.0014566983,0.012987798,0.008009396,0.01731571,0.0068703205,0.013035248,0.038286302,0.025956769,0.07356108,0.0569899,0.0857954,0.055332843,0.0074577755,0.044921767,0.029601172,0.028790578,0.050060365,0.018956782,0.075590074,0.117951766,0.0033543063,0.016079461,0.063313894,0.014091059,0.026851885,0.086441815,0.7195967,0.3011722,0.14102319,0.031187985,0.013828647,5.0965282e-05,0.026908828,0.013792038,0.18271035,0.009509222,0.13132179,0.0037206896,0.0073830336,0.032933608,0.0198,0.061853368,0.01069211,0.033395343,0.13516195,0.05259383,0.13992104,0.10988243,4.6974424e-07,0.0014556395,0.118328564,0.039846506,0.0003708123,0.111694954,0.12599912,0.002750368,0.08306243,0.0007281607,0.0025480485,0.039349064,0.0004310271,0.123894386,0.015031326,0.14821993,0.016895458,0.02026494,0.039541904,0.0134123545,0.19323327,0.08095614,0.048290692,0.0012670921,10.154536,0.035115637,0.09532769,0.6369309,0.061240304,0.12205124,0.06511373,0.011382021,0.0021106524,0.051352188,0.0022326035,0.14858249
100610,0.001784975,0.013614673,0.09674413,0.3184335,1.6511973,1.3467156,0.062225584,0.1732846,1.0124122,1.5804547,0.020526366,0.24384154,0.40468803,0.9657679,0.9122444,1.1853249,0.00089322333,0.00010548513,0.10983515,0.0066611785,0.9283564,1.1847116,0.56834733,1.013131,2.1677475,1.6860479,1.780929,2.225607,0.10177218,0.046670455,0.4599609,0.9521655,0.0059705656,0.07173209,0.036864422,0.0054305405,0.0028890152,0.0027824359,0.033478037,0.106290594,0.34004185,0.250764,0.22945765,0.019181484,0.10264287,0.15666604,0.17234778,0.013142848,0.044773933,1.7969818e-05,0.3250255,0.04621789,0.17940724,0.024740139,0.024968293,0.0019147343,0.0221517,0.036997754,0.0019239783,0.48386505,0.12234252,0.09645884,0.021679489,0.0027387924,0.37431917,0.17014466,0.014907216,0.027252689,0.031840358,0.015593515,0.45907912,0.32742015,0.10037515,0.3146897,0.035104904,0.14179096,0.00037782305,0.024400467,0.0028462831,0.2607878,0.0031016604,0.005584739,0.20162006,0.39353463,0.07182119,0.014692639,0.11232592,0.0017422525,0.05100784,0.052856807,0.5992658,0.2809235,0.56528497,0.26758894,0.8181414,0.49734885,0.45922694,0.13038595,0.34319144,0.2435619,0.36271042,0.539687,0.27888435,0.3059347,10.547977,0.26994145,0.2575833,0.79697067,1.2219297,0.49957514,1.1392285,1.3143053,2.2590327,0.691544,0.96014863,0.39992687
101006,0.0016766951,0.018840682,0.0044009164,0.04761042,0.07718433,0.056760345,0.0006669103,0.060776994,0.17880884,1.0817482e-06,0.060051087,0.28992912,0.07594919,0.029470596,0.0009187741,0.001223492,0.05956213,0.03100939,0.1299415,0.1468871,0.025894525,0.021763382,0.00016659599,0.059894763,0.057331324,0.029832091,0.1814537,0.06466446,0.05792189,0.0053493064,0.0003603749,0.13006683,0.028129926,0.08975813,0.15123656,0.18527742,0.0927554,0.12653272,8.526584e-08,0.21867254,0.035701968,0.007764417,0.09015335,0.1392184,0.011478744,0.0017858162,0.016346857,0.05656605,0.14925055,0.0072707776,0.053333,0.043333855,0.04643786,0.21818489,0.07614147,0.3374707,0.022287343,0.09298674,2.6378741,1.7186987,0.18603739,0.091159105,0.013137246,0.008216648,0.06603924,0.23512135,0.06275836,0.010347911,0.002260928,0.10469011,0.00048297053,0.028911436,0.00015973944,0.0343021,0.0080558,0.07987131,0.041443758,0.055860534,0.009755694,0.31307697,0.0072089955,0.0029285427,0.0018259474,0.032342695,0.0051238663,0.037739657,0.31426305,0.2598153,0.080226496,0.04928977,0.13433868,0.009750508,0.020198468,0.008503936,0.8516218,0.10751649,0.16604926,0.009243197,0.04532851,0.093473524,0.028969955,0.0043276493,0.0032385387,0.11376261,16.355206,0.062271252,0.18905154,0.46512356,0.88850164,0.26892462,0.14071664,0.7967158,2.5361803,0.07752021,0.29502663,0.5796628
101107,0.07271034,0.026198415,0.045619477,0.09301746,0.15142053,2.5441848e-06,0.11441936,0.008005324,0.026879866,0.108198956,0.058133613,0.059411652,0.22402862,0.04711247,0.078204505,0.10319083,0.01045866,0.03072566,0.07079752,0.044166707,0.002047998,0.0006945969,0.11095862,0.0023842847,0.09012626,0.038881093,0.0064041177,0.038145225,0.01812369,0.0018088985,0.015160082,0.0027058832,0.014751849,0.00031537344,0.0010092717,0.011668155,0.02801413,0.000554821,0.00023075391,0.007666509,0.11996824,0.0068661463,0.0727906,0.013503354,0.009355764,0.040753156,0.060785085,0.0011268323,0.18751636,0.020071398,0.10467584,0.09902081,0.031555086,0.058827568,0.043155972,0.004421607,0.14532404,0.0783438,0.7698892,0.30024794,0.17285594,0.21146889,0.08836301,0.0049039344,0.040664043,0.003615606,0.006209711,0.001552988,0.011113237,0.00013636409,0.00018698536,0.00071717286,0.058709104,0.061596736,0.059992786,0.07123666,0.0029020163,0.0014454604,0.089964785,0.0006512155,0.061838597,0.016478004,0.21608174,0.24868801,0.16104713,0.18183531,0.23284745,0.10353573,0.024161177,0.031463034,0.007948989,0.06257615,0.008405958,0.06732613,0.005739576,0.11706393,1.8037852e-05,0.00061042205,0.013105176,0.0028917168,0.00092196476,0.0056956713,0.013961372,0.026036857,3.9906757,0.12801124,0.18833745,0.39855698,0.013453773,0.11721118,0.07488435,0.34859073,0.15344507,0.00012218651,0.057121467,0.3460848
101309,0.013200536,0.011593588,0.100611605,0.250104,0.35345852,0.8338722,0.046969812,0.032182463,0.55320835,0.20230912,0.42789158,0.030051377,0.012798633,0.22596346,0.18333744,0.017835286,0.00066237256,0.17877181,0.0023397321,0.007956628,0.05590952,0.010677671,0.031970017,0.003697961,0.45821092,0.20848279,0.013173458,0.46440995,0.47757548,0.7141553,0.024074782,0.04870114,0.027740033,0.39980346,0.12653378,0.33336112,0.18891191,0.08242974,0.09414164,0.007516674,0.0064979517,0.009243028,0.026788075,0.09008475,0.00014414439,0.099211484,0.00069731567,0.0011172628,0.06320022,0.0011588116,0.0005061124,0.33776733,0.51938725,0.17026767,0.021062508,0.05607445,0.04033005,2.0506437e-05,0.046847146,1.1085035,0.10757181,0.31578648,0.000440886,0.07305225,0.52212197,0.060895976,0.06866093,0.0032720428,0.007893747,0.04338823,0.029587533,3.1280042e-06,0.005443261,0.0015424116,0.34736207,0.06352111,0.10235231,0.026964892,0.20011613,0.28308877,0.038502168,0.19996183,0.04079116,0.010223528,0.0025160972,0.116514914,0.027837321,0.01720722,5.476541e-05,0.051220592,0.11780209,0.51779056,0.4877659,0.17400706,0.0004675084,0.00012292819,0.020562187,0.18536346,0.001347755,0.0065666595,0.00092135585,0.8369276,0.065273196,0.53702486,10.756188,0.9287185,0.46127903,0.1686213,0.023846785,0.033173654,0.028922495,0.005504619,0.035718407,0.003620883,0.07201934,0.28763202
101410,0.11773752,0.06569148,0.08820514,0.0816384,0.25578782,0.47620043,0.06462621,0.002064966,0.094361946,0.16475728,0.07141635,0.34200624,0.21574733,0.008003051,0.0453463,0.0062027667,0.074798055,0.097239055,0.014363417,0.031433105,0.04689772,0.00029693724,0.16187954,0.160103,0.092848346,0.19636202,0.4179775,0.19443575,0.00024618168,0.037165835,0.0069414712,0.25150394,0.0023986753,0.009212879,0.01846385,0.009024405,0.0088430075,2.5865776e-05,0.07936333,0.010083356,0.02031799,0.014835876,0.0038860869,0.0015606007,0.095567554,0.036656275,0.00055190106,0.025157932,0.05185503,0.0030621155,0.1903547,0.004916552,0.049570743,0.014675998,0.028558018,0.013897069,0.04191147,0.11301415,0.05471049,0.00012358662,0.02406907,0.021843623,0.00021228049,0.023909785,0.48292342,0.08660996,0.015794294,0.0022817957,0.18139173,0.022751901,0.000950711,0.021497129,0.0047943597,5.110966e-06,0.02092475,3.6249487e-05,0.07224935,0.012732455,0.00029826263,0.1896582,0.005603224,0.0411809,0.009161375,0.4720363,0.12642525,0.015617394,0.08790462,0.5524447,0.00045905908,0.00062906445,0.39447096,0.0024829833,0.20371944,0.019881757,0.0018561048,0.019208392,0.030601121,0.21820821,0.023181485,0.008312524,0.12870437,0.13382386,0.15348879,0.04243605,10.503561,0.16494322,0.54948354,0.41876283,0.032522984,0.05015592,0.08584262,0.00039693905,0.0021216674,0.1517562,0.099788085,0.15258276
101915,0.12961058,0.0033836507,0.002824672,0.00022026295,0.07882134,0.17731376,0.0019428195,0.009357343,0.16863471,0.37603575,0.1076862,0.0060591633,0.03958066,0.09153792,0.25659412,0.025861943,0.019330239,0.03723058,0.012798735,0.06430359,0.01328816,0.03866946,0.04374212,0.0047970964,0.0039079413,0.21763383,0.18349038,0.18742342,0.00021911005,0.039426297,0.05536574,9.665523e-05,0.01904806,0.04669683,0.009904058,0.00041779043,0.027241556,0.001274632,0.0069990666,2.7046184e-05,0.0040382687,0.04994391,0.07594325,0.13303122,0.13190581,0.10615952,0.091499135,0.10862573,0.081142835,0.0010251623,0.06763662,0.06141336,0.037729457,0.006400002,0.017040936,0.14288528,0.05573275,0.028414624,0.3298899,0.042141005,0.04219998,0.021845134,0.0030558817,0.0066884,0.0063580093,0.013017588,0.00016768329,0.12970714,0.012833013,0.037660867,0.15431446,0.021086572,0.05431145,0.0077960775,0.16198339,0.027902767,0.05134969,0.014154877,0.023564251,0.03673693,0.0015276956,0.3091977,0.06573515,0.06757843,0.019745069,0.09348735,0.01058741,0.14928782,0.014696136,0.0587756,0.09589097,0.0069674,0.04482322,0.023150522,0.12686509,0.4687,0.12663956,0.43622756,0.15510653,0.2551427,0.33324584,0.13132115,0.1432712,0.1642545,13.76939,0.14822142,0.044602945,0.00040495093,0.00021000503,0.07842011,0.010976616,0.4333051,0.27084345,0.15356898,0.184506,0.09180893
102008,0.12360587,0.0389024,0.0010066655,0.0014678282,0.24032284,0.13406034,0.004086394,0.025368059,0.8506168,0.10292869,0.03101407,0.0018269154,0.19631767,0.0431025,1.4121543e-05,0.050483126,0.008295712,0.00033026584,0.12292289,0.036404822,0.0024294953,0.0067175236,0.0041585728,0.016340036,0.24973406,0.1378813,0.110864356,0.081252195,0.044786192,0.00043985786,0.010354667,0.003378523,0.055399843,0.0034661633,0.0016127251,0.015880074,0.038394604,0.000269878,0.021537295,0.0014353824,0.05126716,0.041301996,0.0031615524,0.01168611,0.053753454,0.025884604,0.0077787545,0.050881494,0.008025143,0.035086207,0.006667025,0.060528856,0.00060527725,0.09023353,0.035267144,0.004552555,0.01868186,0.0020159546,0.016244886,0.13567151,3.136824e-05,0.060820322,0.0001791119,0.074224405,0.00047006234,0.00043231316,0.0087146,0.028624764,0.07348421,0.0022333656,0.032073006,0.01893122,0.018956302,0.0010721084,0.22396678,0.11536291,0.13327087,0.10069512,0.055083662,0.0330491,0.03011822,0.016031574,0.15967275,0.13065417,0.008311873,0.03602791,0.009215717,0.0052607157,0.0024985976,0.054545484,0.001771055,0.011594384,0.028138204,0.11164024,0.0066455505,0.010251442,0.004071251,0.020033054,0.009804026,0.02874492,0.0104672145,0.18264921,0.021552404,0.15140657,5.5357494,6.555226e-06,0.077375524,0.06943114,0.013828236,0.037873156,0.10922604,0.08680975,0.122750275,0.017764855,0.00257698,0.0008616371
