IID,ROI_0,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96,ROI_97,ROI_98,ROI_99,ROI_100,ROI_101,ROI_102,ROI_103,ROI_104,ROI_105,ROI_106,ROI_107,ROI_108,ROI_109,ROI_110,ROI_111,ROI_112,ROI_113,ROI_114,ROI_115
100206,0.09051684,0.0135242725,0.20288023,0.15448606,0.20990697,0.28300986,0.007096356,0.05302865,0.10409524,0.26862073,0.08310982,0.038304262,0.06253675,0.03685302,0.08834084,0.20821574,0.073816486,0.13310577,0.20037706,0.11382733,0.0025657727,0.00038232704,0.078657895,0.057130355,0.01266583,0.28510028,0.04261021,0.36572355,0.055387862,0.029511733,0.11432006,0.010870134,0.61767495,0.199967,0.5462881,0.006176647,0.12032016,0.06438894,0.65462244,0.029583033,0.004258085,0.0049579563,0.14854081,0.12126042,0.003229092,0.07393032,0.094680086,0.030365521,0.0058363313,0.0011983434,0.34471592,0.022950191,0.26886,0.014124715,0.108263746,0.027398424,0.0018797739,0.12697123,0.07855793,0.28787392,0.24394898,0.0038726414,0.037722718,0.18719716,0.4232847,0.0058269114,0.03172744,0.039472386,0.61083555,0.011469506,0.021112463,0.032977156,0.004500569,0.07030849,0.026714422,0.20458636,0.14430118,0.034945656,0.0046678083,0.27466583,0.43342745,0.804416,0.053058084,0.007593363,0.3796236,0.13426101,0.36702812,0.30179724,0.32817855,0.030130552,0.10185845,0.024196513,0.00067088444,0.05309269,0.5393496,0.45152816,0.10107936,0.41432652,0.064137675,0.26464373,0.074939296,9.289049e-06,0.054782253,0.00014930134,0.03505422,0.2895064,0.33755183,1.8674699,0.010324472,0.16478617,0.09345317,0.043195248,0.45573887,0.03634223,0.03534133,0.0008681874
100307,0.2851687,0.078311555,0.003040724,0.0077004633,0.5115366,1.0812521,0.0015905029,0.053224355,2.6815777,2.9769223,0.062845975,0.022619115,0.018204372,0.11401227,0.8569737,0.34270304,0.7140238,0.7073906,0.19425641,0.08547173,0.38528314,0.89669436,0.090062425,0.051404893,0.4938771,2.4314423,0.78834164,0.15849257,0.70790625,0.3270855,0.05670946,0.0070775943,0.88022625,0.3801455,0.041064713,0.089526504,0.021481361,0.44415444,0.08833723,0.0018354983,0.043724887,0.1406793,0.0033221103,0.06241411,0.25414628,4.3570522e-05,0.024835689,0.06781018,0.18719853,0.009613382,0.13740431,0.038760368,0.09923213,0.5779481,0.008415776,0.001022555,0.7892448,0.9513945,1.1907403,0.3846341,0.1096171,0.18541352,0.104664885,0.37405744,0.0008183747,0.66156316,0.56351405,0.37294257,1.3341111,2.1446,0.13264312,0.949022,0.23627822,0.04540672,0.14103362,0.18449594,4.8267703,0.8651855,0.7610452,1.6654744,0.15385738,0.6554288,0.052626744,0.13432139,0.22358619,0.26439112,0.1798406,0.051070295,0.14325547,0.38237497,0.21343867,0.12984702,0.014880563,0.018535558,0.789684,0.33250853,0.0019069907,0.00040904293,0.20008883,0.19653139,0.18141475,0.5094646,0.14584365,0.0111275045,0.011685339,0.040644754,1.0475136,0.07425169,0.10808404,0.051635522,0.13931018,0.11173543,0.017717808,0.11091139,0.0013381158,0.16309337
100408,0.06460833,0.07512049,0.0048939865,0.00012900468,0.17199504,0.002393673,0.03983935,0.015804483,0.009909123,0.0007955674,0.10312324,0.12709482,0.051324166,0.0073991776,0.6096858,0.016063845,0.02145965,0.28833628,0.0012412481,0.0006724338,0.8046562,0.7914371,0.08560697,0.0052594426,0.08229149,0.26750797,0.23604287,0.27949014,0.16747758,0.051172864,3.1963922e-05,0.007727801,0.019747622,0.008369073,0.5184191,0.005816856,0.012004899,0.36475852,1.4498936,3.9135501,2.4351838,3.387069,0.47442323,0.2710407,0.22592081,0.021172125,0.5936,0.06550029,0.1009257,0.02392763,0.24900033,0.034104288,0.00078326237,0.001962645,1.1636186,0.7780343,0.040326633,0.037966195,0.17089917,0.2557924,0.0002611633,0.27156475,0.26106372,0.49915943,0.7061573,0.65167135,1.830744e-07,0.0141684525,0.47689506,0.022954902,1.3602222,0.4996873,0.4486482,0.5170604,0.075518385,0.12926553,0.08694079,0.002670562,0.08911261,0.0043686368,0.13455349,0.13323501,0.15184967,0.10991242,0.03650449,0.06158046,0.34029695,0.506973,1.7312458,0.5368367,0.14592448,0.003612854,0.12627317,0.0030461561,0.047462687,0.018454367,0.25444067,0.121156536,0.44877824,0.10458911,0.06796601,0.082451016,0.016776048,0.01827737,0.087802164,0.024834976,0.0035782037,1.1907086,0.021729968,1.6839864,0.800466,0.014013509,0.0061305445,0.09953195,0.13242091,0.6985438
100610,0.21419282,0.3890429,0.38850567,0.22190733,0.17830159,0.6721693,0.2919623,0.80000424,0.00438785,0.5921186,0.009000665,0.48755282,0.07394607,1.472674,0.010369302,0.60594934,0.0712247,0.056428235,0.002306935,0.00044898022,0.123283915,0.05566717,0.019461354,0.014443432,0.06618386,0.73016685,1.0794305,0.86669827,0.0069701644,0.14256696,0.024547946,0.44653484,0.44087246,0.02109957,1.0542806,0.0036109018,0.41547838,0.31347018,0.16409606,0.1064481,0.26732156,0.0064595873,0.09013141,0.35297522,0.00068721775,0.00019111908,5.72135e-08,0.17411898,0.028724145,0.0003571348,0.0076587703,0.0013610106,0.17484,0.00040427112,0.119832106,0.11188871,0.19059944,0.0010114543,0.09324147,0.49715063,0.29922876,0.04276801,0.22812463,0.12131109,0.33887473,0.14789903,0.20176664,0.012767095,0.09480623,0.009346,0.059208967,0.527821,0.5094777,1.3262686,0.3904727,0.61848146,0.23418915,0.0023337104,0.20160049,0.013774068,0.077930115,0.0068385135,0.083568156,6.46643e-05,0.44081458,0.45385623,0.00075489527,0.03654644,0.6305604,0.07852983,0.09026832,0.001345736,0.575176,0.075595684,0.0330781,0.17436226,0.16331844,0.013029553,0.038638145,0.06084368,0.5126525,0.27384943,0.15736802,0.085824125,0.0049756663,0.079496086,0.39979956,0.042246494,0.31313282,0.12007075,0.28813398,0.009334706,0.28318936,0.12741756,0.08690009,0.009504721
101006,0.009648361,0.006633644,0.05755807,0.05143536,0.09819283,0.042261846,0.23162639,0.029815858,0.007950222,0.05859985,0.12480192,0.0022987595,0.24949051,0.027882807,0.023038492,0.23862398,0.03789709,0.009695038,0.09250344,0.16730502,6.617699e-05,0.10025541,0.34170973,0.2544967,0.16301356,0.34793422,0.47557577,0.9008937,0.27540296,0.64231676,0.041633874,0.0014345018,0.035206895,0.23258904,0.10259834,0.10502322,1.8022793e-05,0.00020573258,0.02247712,0.020836696,0.070008844,0.027247347,0.06062443,0.14901535,0.2415715,0.0016629166,0.03976633,0.2801758,0.3355705,0.003745691,0.029444508,0.0864799,0.07526242,0.2186541,0.06089467,0.025468893,0.14215262,0.07488634,0.47690132,0.57566875,0.120639145,0.00049830024,0.047192942,0.121921666,0.060323767,0.025570244,0.015091925,0.10736654,0.0130854305,0.005676875,0.3632131,0.6043089,2.4819062,2.6941712,0.0018819195,0.00017477029,0.13288197,0.09989739,0.5850594,0.008160813,0.0082192,0.5081849,0.12822074,0.14685895,0.049788974,1.3273553,0.020128697,0.32556936,0.016148087,0.67081624,0.028214904,0.5788241,0.35428312,0.030855017,0.18523532,0.002261634,0.49056482,0.098923504,0.23970696,0.31759128,1.0250787,0.2516357,0.6552273,0.43792167,0.007936517,0.11583376,0.0031651796,0.9184953,0.117600754,0.26650643,0.026043829,1.5525708,2.3246365,1.2320061e-06,0.008669211,0.019426446
101107,0.21338016,0.2511606,0.044305257,0.062367585,7.797476,0.6928259,0.00040063963,0.0014116213,5.453678,0.052526988,0.11396639,0.15017985,0.013568144,0.062032577,0.016224384,1.5810767,0.28520456,0.15328954,0.47873223,0.35789695,0.14479634,0.048987716,0.15346113,0.48728815,5.2419105,2.7103984,2.8368266,5.414053,0.045650914,0.65047276,0.3199558,0.8431993,0.014717008,2.7515833,0.029167755,0.085873984,0.18155685,0.05645465,0.098772764,0.00900004,0.49527365,0.06403048,0.030598318,0.23091629,0.00034318905,0.004304452,0.54153335,0.4376233,0.26862165,0.0071015335,0.24212514,0.091287136,0.5009629,0.9365327,0.04355107,0.17761901,0.22020157,0.53595936,0.0412804,0.2611376,0.004764061,0.09656609,0.29726902,0.013189506,0.62702715,0.054518607,0.012003579,0.20765044,0.3370676,0.45649165,0.0010715289,0.16665517,0.023633689,0.009621881,0.28993547,2.2394941e-05,0.012009748,0.1350772,0.0094316825,0.15546335,0.0065154647,0.0005943378,0.0047512874,0.115088336,0.01267066,1.8595338,8.452639,6.124879,0.8981614,3.0672925,0.2754786,0.0056721536,0.48503926,0.11160557,0.07182675,0.022566002,0.01568637,0.1893579,0.24832635,0.37524915,0.33473733,0.6667697,0.18779348,0.8576443,0.3857351,0.21240783,0.10887096,0.002120358,0.02582128,0.08136652,0.0015754773,0.18987645,0.12523988,0.024459109,0.4121841,0.06304401
101309,1.0611511,0.05395102,0.0018011192,0.0056746174,0.19008663,0.24846905,0.12765548,0.022143768,0.009695746,0.06694605,0.5466327,0.0053499406,0.13711967,0.031662636,0.21156433,0.037183724,0.71096146,0.10705705,0.81676805,0.10458015,0.08566992,0.038698796,0.01121093,0.039194193,0.43465593,0.6688793,0.2607139,0.3668738,0.16943948,0.13239728,0.4003447,0.6150526,1.0804874,0.74152505,0.014649762,0.10411442,0.55647093,0.1680315,0.9079886,0.20698316,0.020073755,0.9463829,0.2055726,0.0822004,0.08187737,0.0045964937,0.06638347,0.0054553994,0.33488357,0.017324504,0.72966754,0.22800069,0.42612088,1.7178419,0.024292383,0.07504775,0.0014224619,0.0655933,0.28063253,0.013292238,0.007156389,0.050901763,0.33404922,0.1677216,1.0869218,0.13818942,0.4445717,0.22277331,0.37221244,0.06301776,0.061019044,0.0036501775,0.010435187,0.010091958,0.0056798384,0.059795834,0.03695956,0.0033145805,0.0037043996,0.018654346,0.61679256,0.22682188,0.05578951,0.075836234,0.59430134,0.04200818,0.10845811,3.7932353,0.34433457,0.023188025,0.7554009,0.7640593,0.39340872,0.5092485,0.08756925,0.0024818915,0.054321617,0.009803468,0.10918253,0.06410583,0.00013124432,0.18476014,0.057463277,0.19888836,0.07274037,0.010718255,0.7928838,0.08295223,0.0010124479,0.53228146,1.3639628,0.034520783,0.49199772,0.25648984,0.011906497,0.056828164
101410,0.052021943,0.09678496,0.12724471,0.00017514716,0.98550934,0.43924627,0.12366426,0.027656145,0.654417,0.44016805,0.0653811,0.00022880638,0.39624193,0.03191501,0.08004933,0.03471912,0.07065024,0.07253654,0.032463904,0.46352997,0.030840183,0.16224457,0.79006666,0.36439395,1.5046864,0.8314878,0.4563818,0.21315469,0.015296738,0.23589022,0.14307627,0.4561068,0.36985028,1.3147594,0.2648094,0.29176453,5.0217855e-05,0.0722416,0.38539866,0.09853229,0.2570266,0.87623,0.48923817,0.04088866,0.0028797449,0.0002574785,1.0013537,0.27471536,0.36089545,0.0021853154,0.51709604,0.1671385,0.73719215,0.025176058,0.012764846,0.06575416,0.0060844314,0.003074119,0.10692362,0.0024132526,1.0751891,0.20136492,0.41542482,0.07553755,0.91945773,0.021278579,0.5019659,0.0007352048,0.22219068,0.11796246,0.009311749,0.005085986,0.0022344152,0.04084335,0.75657934,0.037672065,0.042262387,0.18172914,0.033607412,0.043355994,0.00023494911,0.108383276,0.12914097,0.20840754,0.026876874,1.2406863,0.0006740701,0.8451786,0.05885596,0.6720167,0.012918218,0.12837996,0.058464017,0.21100606,0.062011708,0.1843686,6.878576e-05,0.0044928747,0.11798573,0.111718185,0.5445143,0.056998823,0.42007163,0.14090711,0.0043167165,0.011555651,0.037180547,0.03866634,0.11744497,0.25798047,0.16206652,0.4056448,0.61135584,0.08332483,0.019786272,9.038022e-05
101915,0.1896406,0.55710644,0.16999885,0.17506763,0.0009480746,1.2421039,0.21350963,0.03890305,0.17023255,1.4906449,0.12265924,0.11063612,0.07026246,0.20063497,0.58018965,0.27408516,0.03554481,0.4081366,0.3565653,0.81340766,0.0012414414,0.008897577,0.10700689,0.06950224,0.029944658,0.043905552,1.0906602e-05,1.1988993,0.50981563,0.5678826,0.042338613,0.1400019,0.007958704,0.0012340421,0.10260832,0.0035551344,0.7606475,0.1558084,1.9941027,0.035766754,0.014317779,0.08324285,0.0317967,0.053461183,0.06503275,8.33123e-07,0.37561312,0.32505146,0.0045359866,0.00076446164,0.019678246,6.283262e-06,0.3619711,0.21723863,2.1166334,0.09204164,0.54170084,0.6094083,1.1051135,0.9797644,0.29358885,0.024068719,0.11018903,0.037488356,0.8428043,0.0016362248,0.120503336,1.7223283e-06,1.872864,1.9867679,0.018383723,0.2174782,0.0034499103,0.049013324,0.00036862845,0.28392425,0.09475357,0.019561155,0.1422151,0.41612533,0.01178053,0.6097657,0.03336639,0.034280244,0.42285508,0.22603314,0.06291412,0.30413637,0.3571959,0.29279155,0.4067835,0.025258774,0.1253435,0.093014024,0.34651196,0.13533965,0.7201716,0.0026968373,0.3984242,0.014969473,0.0002068801,0.0673795,0.0032171393,0.3355521,0.083984934,0.006684793,0.1681765,0.67090094,0.30125228,0.30677465,0.34999353,0.23221837,0.08952861,0.031846356,0.005142605,0.19639057
102008,0.02829292,0.5262488,0.07254637,0.79607505,0.00022187056,0.11240065,0.08539291,1.5065308,0.29114464,0.25554785,0.00432732,0.8379623,0.021476535,1.3886449,0.2061893,0.0033408962,0.054901343,0.022939786,0.027830003,0.0005882837,0.0016330202,0.0025704629,0.2667352,0.09928757,0.04827704,0.9442162,0.17304823,0.082022734,0.0035429362,0.29100007,0.010041246,0.7217424,3.7670357,0.70796704,1.9621217,0.7126501,0.052002437,1.0023751,0.007166926,0.0657854,0.48637944,0.10171817,0.10692802,0.024929136,0.14956956,0.1422272,0.020202687,0.056283984,0.31125635,0.037078097,0.24083528,0.24862732,0.16702195,0.1764887,0.21061504,0.13255717,0.0020819867,0.00069253903,0.122788325,0.0383924,0.19780713,0.40915295,0.002531297,0.0015017051,0.29906744,0.28560176,0.34463522,0.29096463,0.14186774,0.013133954,0.011652862,0.19494984,0.31588277,1.77556,0.009722856,0.7362894,0.9286482,1.6538599,0.020377101,0.6072645,0.068711974,0.2024394,0.37675124,0.3582662,0.36394352,0.7826618,0.17589074,0.14243773,3.2856507e-05,0.005642912,0.18532889,0.11548575,0.2201845,1.153759,1.4987737,0.24071595,1.2651479,0.13844417,0.13681282,0.20789956,0.5332942,0.6380519,0.07366743,0.20013031,0.34567434,0.17995495,0.26761588,0.16975814,0.50173163,0.3396768,0.05065044,0.03296725,0.22517581,0.00017490546,0.3253612,0.2379274
